,news,Publish_Date,sentiment_score,sentiment_label,sentiment_score_updated,sentiment_label_updated
62,infosys likely post higher net despite currency swings,2010-04-12,0.0833333358168602,neutral,0.0,neutral
63,tatas lt infosys choose next leader,2011-04-24,0.0,neutral,0.0,neutral
64,infosys acquires genis software solutions business,2011-06-08,0.0,neutral,1.0,positive
65,led tcs infosys wipro pips manufacturing job creation,2011-12-26,0.0,neutral,0.0,neutral
66,infosys driving hard bargain mihan,2012-01-16,-0.2916666567325592,negative,0.0,neutral
67,infosys acquire lodestone switzerlandbased management consultancy firm 349 million,2012-09-10,-0.20000000298023224,negative,1.0,positive
68,infosys ads starts trading nyse,2012-12-13,0.0,neutral,0.0,neutral
69,infosys employees play santa orphaned children christmas,2012-12-21,0.0,neutral,0.0,neutral
70,sensex 78 points early trade infosys tanks 6,2014-05-29,0.10000000149011612,positive,0.0,neutral
71,tcs infosys cognizant lookout disruptive startups,2015-02-11,0.0,neutral,0.0,neutral
72,infosys hiring hit 3year low next fiscal,2015-02-21,0.0,neutral,-1.0,negative
73,im distressed whats happening infosys narayana murthy,2017-02-10,0.0,neutral,0.0,neutral
74,infosys shares tank 6 vishal sikkas resignation,2017-08-18,0.0,neutral,0.0,neutral
75,infosys approves 13000 crore share buyback day vishal sikkas resignation,2017-08-19,0.0,neutral,0.0,neutral
76,vishal sikkas exit 200million transaction rocked infosys boat,2017-08-20,0.0,neutral,0.0,neutral
77,markets open gains nifty reclaims 9800mark infosys moves green,2017-08-22,-0.10000000149011612,negative,0.0,neutral
78,infosys set buy philips bpo arm,2007-09-06,0.0,neutral,1.0,positive
79,infosys lauds role satyam,2009-02-13,0.0,neutral,0.0,neutral
80,infosys wins 10year contract,2009-07-21,0.30000001192092896,positive,1.0,positive
81,infosys build leadership factory,2010-10-04,0.0,neutral,0.0,neutral
82,infosys bets big african market seeks expand services,2011-03-25,0.0,neutral,1.0,positive
83,infosys receives cisf cover pune campus,2011-04-21,0.0,neutral,0.0,neutral
84,infosys pay kamath special fee 67 lakh,2011-05-30,0.3571428656578064,positive,0.0,neutral
85,infosys targets 50 local staff overseas,2011-09-14,0.0,neutral,0.0,neutral
86,sensex dips 138 pts infosys slips weak forecast,2012-01-12,-0.375,negative,0.0,neutral
87,infosys cutting 5000 jobs sources,2013-01-04,-0.6000000238418579,negative,0.0,neutral
88,makes infosys potential acquisition target,2013-04-16,0.0,neutral,0.0,neutral
89,bansals nearly rich infosys cofounders,2014-07-30,0.375,positive,0.0,neutral
90,infosys approves 2 billion buyback shares,2017-08-19,0.0,neutral,0.0,neutral
91,infosys second quarter profit 184 per cent,2007-10-11,0.0,neutral,0.0,neutral
92,tcs infosys wipro stocks surge,2009-01-09,0.0,neutral,0.0,neutral
93,infosys offer staff one year ngo stint half pay,2009-03-25,-0.1666666716337204,negative,0.0,neutral
94,infosys plans hire 30000 foreigners,2010-06-15,0.0,neutral,1.0,positive
95,adrs lose 5bn week infosys top loser,2010-07-18,0.5,positive,1.0,positive
96,revival infosys may lag behind tcs wipro,2010-09-17,-0.4000000059604645,negative,0.0,neutral
97,q1 results bullish tcs neutral infosys says bhavin shah equirus securities,2011-07-11,0.0,neutral,0.0,neutral
98,infosys tcs wipro go slow hiring,2012-11-20,-0.30000001192092896,negative,0.0,neutral
99,45m atm heist hacked bank uses infosys solution,2013-05-11,0.0,neutral,0.0,neutral
100,infosys gives 10 salary hikes,2013-05-25,0.0,neutral,0.0,neutral
101,v balakrishnan may return finance role infosys,2013-07-11,0.0,neutral,0.0,neutral
102,wipro infosys hunt nonfounder members build next generation boards,2014-07-07,0.0,neutral,0.0,neutral
103,tcs infosys face us probe h1b visa violations,2015-06-12,0.0,neutral,0.0,neutral
104,infosys revamps training programme,2015-08-03,0.0,neutral,0.0,neutral
105,infosys tops review 200 poll,2001-12-20,0.0,neutral,1.0,positive
106,infosys win,2003-06-30,0.800000011920929,positive,0.0,neutral
107,infosys net profit rises 25,2008-01-12,0.0,neutral,0.0,neutral
108,sp becomes positive infosys,2010-02-19,0.22727273404598236,positive,0.0,neutral
109,infosys calls back employees based japan,2011-03-15,0.0,neutral,0.0,neutral
110,infosys buys australiabased portland bpo,2011-12-20,0.0,neutral,0.0,neutral
111,infosys ubm techweb unveils cloudecosystem,2012-07-21,0.0,neutral,0.0,neutral
112,h1b visa reforms hurt companies like tcs wipro infosys,2013-04-16,0.0,neutral,0.0,neutral
113,infosys shares surge 9 murthy returns chairman,2013-06-03,0.0,neutral,0.0,neutral
114,infosys overcome crisis secondlevel leaders blood analysts say,2014-05-30,0.0,neutral,0.0,neutral
115,sap labs md quits sparks rumours joining infosys,2014-06-19,0.0,neutral,0.0,neutral
116,infosys goes tcs way splits business smaller units,2016-08-29,0.0,neutral,0.0,neutral
117,indiana rolls red carpet companies offers big incentive packages infosys,2017-05-26,0.03333333507180214,neutral,0.0,neutral
118,corrected infosys chairman focus ceo search strategy,2017-08-28,0.0,neutral,0.0,neutral
119,chaudhary scalps five infosys,2002-03-14,0.0,neutral,0.0,neutral
120,infosys employees bid emotional farewell nandan nilekani,2009-07-10,0.0,neutral,0.0,neutral
121,us democrat senator calls infosys chop shop,2010-08-08,0.0,neutral,0.0,neutral
122,infosys open foreigner chief,2010-09-04,0.0,neutral,0.0,neutral
123,infosys clients mulling contingency plans us visa row forrester analyst,2012-05-07,0.0,neutral,0.0,neutral
124,hiring infosys second lowest decade,2013-01-12,0.0,neutral,0.0,neutral
125,et infosys keeps employees guessing increments,2013-04-12,0.0,neutral,0.0,neutral
126,infosys cofounder nadathur acquires majority stake paladion networks,2014-06-18,0.0,neutral,1.0,positive
127,itc surpasses infosys hdfc bank,2016-03-01,0.0,neutral,0.0,neutral
128,fresh row infosys narayana murthy slams coos pay hike,2017-04-03,0.30000001192092896,positive,0.0,neutral
129,full text infosys founder narayan murthys letter media,2017-04-03,0.3499999940395355,positive,0.0,neutral
130,partial victory murthy infosys appoints venkatesan cochair,2017-04-14,-0.10000000149011612,negative,0.0,neutral
131,infosys set centre kolkata,2004-08-27,0.0,neutral,0.0,neutral
132,axon buy means hcl infosys,2008-09-29,0.0,neutral,1.0,positive
133,europe worries infosys,2011-01-28,0.0,neutral,0.0,neutral
134,infosys hire 12000 people q2 45000 fy12,2011-07-12,0.0,neutral,1.0,positive
135,bomb scare infosys,2012-03-31,0.0,neutral,0.0,neutral
136,et wipro poaches hires top infosys executive,2012-09-04,0.5,positive,1.0,positive
137,tata consultancy services infosys likely sign lease deed global investors summit,2012-10-13,0.0,neutral,0.0,neutral
138,tcs infosys face us probe h1b visa violations,2015-06-13,0.0,neutral,0.0,neutral
139,infosys tcs wipro form consortium expand china,2015-10-01,0.0,neutral,1.0,positive
140,infosys ceo vishal sikka goes extra mile zero distance project,2016-01-18,0.0,neutral,0.0,neutral
141,kpn bus arsonists moved nice road attacked infosys buses,2016-09-28,0.6000000238418579,positive,0.0,neutral
142,infosys techie murder arrests suspect,2017-01-30,0.0,neutral,0.0,neutral
143,infosys likely meet target,2001-04-07,0.0,neutral,1.0,positive
144,infosys hard war plans,2002-07-11,-0.2916666567325592,negative,0.0,neutral
145,matrixoneinfosys tieup management solutions,2003-01-30,0.0,neutral,0.0,neutral
146,infosys immune slowdown ceo,2008-08-27,0.0,neutral,-1.0,negative
147,infosys becomes first pvt firm get cisf security cover,2009-07-31,0.02500000037252903,neutral,0.0,neutral
148,whos turn infosys mentor narayana murthy daughters wedding,2009-08-31,0.0,neutral,0.0,neutral
149,infosys cash dips 4 14819 cr,2011-01-13,0.0,neutral,0.0,neutral
150,kv kamath draw succession plan infosys,2011-05-02,0.0,neutral,0.0,neutral
151,et cognizant catching infosys,2012-11-19,0.6000000238418579,positive,0.0,neutral
152,mongolian bank selects infosys banking solution,2013-05-02,0.0,neutral,0.0,neutral
153,tough decisions needed rebuild desirable infosys n narayana murthy,2013-06-16,-0.3888888955116272,negative,-1.0,negative
154,im happy infosys ceo race bg srinivas,2014-04-16,0.800000011920929,positive,0.0,neutral
155,vishal sikka gets work infosys send delivery staff client locations,2014-08-04,0.0,neutral,0.0,neutral
156,infosys buys 5acre hp land 65 crore,2014-08-29,0.0,neutral,0.0,neutral
157,infosyss v balakrishnan invests avekshaa,2014-10-14,0.0,neutral,0.0,neutral
158,going green infosys spend 400 crore become carbon neutral,2015-05-19,-0.20000000298023224,negative,0.0,neutral
159,founders coup leaves void infosys,2017-08-18,0.0,neutral,0.0,neutral
160,infosys q1 rises 21,2008-07-11,0.0,neutral,0.0,neutral
161,infosys shares attractive,2009-03-30,0.800000011920929,positive,0.0,neutral
162,infosys suspends staffer torturing child,2010-01-09,0.0,neutral,0.0,neutral
163,shares infosys tcs touch years high bse,2010-01-13,0.1599999964237213,positive,0.0,neutral
164,adrs gain 7 bn week infosys wipro top gainers,2010-06-20,0.5,positive,1.0,positive
165,infosys tcs wipro parcel work small cos,2010-11-18,-0.25,negative,0.0,neutral
166,infosys set major organizational revamp,2011-02-03,0.0625,neutral,0.0,neutral
167,infosys wipro focusing employees ecopreneurship,2012-08-16,0.0,neutral,0.0,neutral
168,hcl tech outperforms infosys wipro,2014-08-01,0.0,neutral,0.0,neutral
169,infosys cofounders sell shares worth 6484 cr,2014-12-09,0.30000001192092896,positive,0.0,neutral
170,infosys blames murthy sikkas exit accuses media attack threats,2017-08-18,0.0,neutral,0.0,neutral
171,former sap labs md joins infosys,2001-01-02,0.0,neutral,0.0,neutral
172,infosys says bad times begun,2003-04-10,-0.699999988079071,negative,0.0,neutral
173,infosys asks employees join ngos,2009-03-25,0.0,neutral,0.0,neutral
174,tcs wipro may beat infosys,2010-09-17,0.0,neutral,0.0,neutral
175,premji take infosys cognizant,2011-03-02,0.0,neutral,0.0,neutral
176,hcl infosystems implements infrastructure project ongc,2011-04-01,0.0,neutral,0.0,neutral
177,attrition trouble infosys hire us china,2011-05-03,-0.20000000298023224,negative,1.0,positive
178,infosys tcs wipro igate retaining benched staff,2012-07-20,0.0,neutral,0.0,neutral
179,retail shareholders employees lose interest infosys stock,2012-08-01,0.0,neutral,0.0,neutral
180,former sap evp michael reh joins vishal sikka infosys,2014-10-04,0.0,neutral,0.0,neutral
181,infosys waiter stabbed death,2015-05-05,0.0,neutral,0.0,neutral
182,trump effect infosys hire 10000 us next 2 years,2017-05-03,0.0,neutral,0.0,neutral
183,infosys defers salary hikes till july job cuts planned,2017-05-12,0.0,neutral,0.0,neutral
184,nandan nilekani set return infosys nonexecutive chairman,2017-08-24,0.0,neutral,0.0,neutral
185,murthy step chairman infosys,2006-06-10,0.0,neutral,0.0,neutral
186,infosys logs bengal rues high land price,2007-05-31,0.1599999964237213,positive,0.0,neutral
187,infosys subprime impact negligible,2007-10-23,0.0,neutral,0.0,neutral
188,infosys empowers farmers,2008-02-26,0.0,neutral,0.0,neutral
189,infosys bags 20 rural deals,2010-01-25,0.0,neutral,1.0,positive
190,infosys announce q1 results july 12,2012-07-04,0.0,neutral,0.0,neutral
191,infosys second harassment suit also baseless,2012-08-22,0.0,neutral,-1.0,negative
192,theres sense urgency infosys rajiv bansal,2013-07-13,0.0,neutral,0.0,neutral
193,infosys expects live upto growth estimates,2002-08-20,0.13636364042758942,positive,0.0,neutral
194,infosys three lossmaking subsidiaries,2009-06-02,0.0,neutral,0.0,neutral
195,murthy trims infosys stake start vc fund,2009-10-23,0.0,neutral,0.0,neutral
196,infosys may top revenue growth next three fiscals report,2010-06-27,0.25,positive,1.0,positive
197,infosys q3 results beat expectations stock vaulted 17 ,2013-01-12,0.0,neutral,0.0,neutral
198,companies like tcs infosys wipro hcl tech likely report muted growth march quarter,2013-04-02,0.0,neutral,0.0,neutral
199,infosys may look outside ceo frontrunner srinivas quits,2014-05-29,0.0,neutral,0.0,neutral
200,exodusinfosys global sales head quits joins dell,2014-06-06,0.0,neutral,0.0,neutral
201,sikkas 2 sap colleagues join infosys,2014-09-03,0.0,neutral,0.0,neutral
202,infosys hire 25000 year,2006-05-16,0.0,neutral,1.0,positive
203,big boom infosys posts robust results,2007-04-13,0.0,neutral,0.0,neutral
204,infosys fluctuation impact q3,2008-11-17,0.0,neutral,0.0,neutral
205,clients remain cautious infosys,2009-11-18,0.0,neutral,0.0,neutral
206,infosys loses work deutsche bank,2010-09-03,-0.30000001192092896,negative,0.0,neutral
207,infosys rejig years,2011-02-02,0.0,neutral,0.0,neutral
208,narayana murthy turns nostalgic last infosys agm,2011-06-11,-0.25,negative,0.0,neutral
209,infosys business tactics deals look paying,2013-04-11,0.0,neutral,0.0,neutral
210,infosyss attrition rate crosses 20,2014-10-10,0.0,neutral,0.0,neutral
211,infosys willing invest old technology ceo vishal sikka,2015-10-13,0.17499999701976776,positive,1.0,positive
212,infosys bpo receives positive rating gartner,2008-02-12,0.22727273404598236,positive,0.0,neutral
213,us slowdown hits infosys profits,2008-04-15,0.0,neutral,-1.0,negative
214,infosys buy uks axon,2008-08-26,0.0,neutral,1.0,positive
215,5 things infosys needs set right,2011-05-03,0.2857142984867096,positive,0.0,neutral
216,infosys creates special team manage top clients,2015-05-30,0.4285714328289032,positive,1.0,positive
217,infosys may bundle bpo unit service line,2016-05-12,0.0,neutral,0.0,neutral
218,rasilas killer stationed fast food joint inside infosys sunday,2017-02-02,0.20000000298023224,positive,0.0,neutral
219,infosys techie murder rasilas father meets chief,2017-02-17,0.0,neutral,0.0,neutral
220,emirates bankinfosys tech enter strategic agreement,2007-09-06,0.0,neutral,0.0,neutral
221,infosys hire 13000 freshers,2009-12-09,0.0,neutral,1.0,positive
222,hc issues notice infosys,2010-02-05,0.0,neutral,0.0,neutral
223,infosys numbers set market pace week,2010-07-11,0.0,neutral,0.0,neutral
224,infosys launches solution japanese companies,2012-11-19,0.0,neutral,1.0,positive
225,infosys bpo sees spate senior execs exit,2012-12-21,0.0,neutral,0.0,neutral
226,infosys changes spark debate ceo cfo powers,2013-06-07,0.0,neutral,0.0,neutral
227,infosys beat industry growth rate 1830 months ceo vishal sikka,2015-01-18,0.0,neutral,0.0,neutral
228,infosys topples hdfc bank 3rd valued co market value,2015-10-04,0.0,neutral,0.0,neutral
229,infosys cofounder takes wework asian markets,2017-06-22,0.0,neutral,0.0,neutral
230,btinfosys collaborate manage rces,2005-01-12,0.0,neutral,0.0,neutral
231,infosys set centre shanghai,2005-08-04,0.0,neutral,0.0,neutral
232,plot attack infosys foiled,2007-01-06,0.0,neutral,0.0,neutral
233,hcl elbows infosys get axon raises bid 811m,2008-09-26,0.0,neutral,0.0,neutral
234,wipro infosys bengal plans stalled,2009-09-03,0.0,neutral,0.0,neutral
235,infosys science foundation prize iucaas padmanabhan,2009-12-04,0.0,neutral,0.0,neutral
236,ashram infosys foundation construct houses flood victims,2010-03-14,0.0,neutral,0.0,neutral
237,7833 employees quit infosys q1,2010-07-13,0.0,neutral,0.0,neutral
238,infosys attrition,2011-03-04,0.0,neutral,0.0,neutral
239,ibm faced serious threat infosys tcs wipro,2011-06-17,-0.3333333432674408,negative,-1.0,negative
240,mp agrees allot 100 acres land tcs infosys,2011-12-29,0.0,neutral,0.0,neutral
241,infosys employee b neelimas death still puzzle,2012-08-07,0.0,neutral,0.0,neutral
242,infosys old gone perhaps forever,2013-04-12,0.10000000149011612,positive,0.0,neutral
243,narayana murthy returns infosys executive chairman company falters,2013-06-01,0.0,neutral,0.0,neutral
244,rohan murtys appointment infosys conflict interest jairam ramesh,2013-06-10,0.0,neutral,0.0,neutral
245,ashok vemuri leaves infosys igate,2013-08-29,0.0,neutral,0.0,neutral
246,sai infosystem head creates ruckus flight,2014-07-07,0.0,neutral,0.0,neutral
247,infosys maths award rkm monk,2015-11-25,0.0,neutral,0.0,neutral
248,infosys set centres croatia russia,2016-09-15,0.0,neutral,0.0,neutral
249,n narayana murthys choice infosys cochair says happy help,2017-02-11,0.800000011920929,positive,0.0,neutral
250,indias infosys touts plan hire americans face visa pressures,2017-05-25,0.0,neutral,1.0,positive
251,infosys fires market rally,2003-07-13,0.0,neutral,-1.0,negative
252,income tax department slaps 450 crore demand infosys,2011-02-25,0.0,neutral,0.0,neutral
253,gives tcs edge infosys wipro,2011-05-23,0.0,neutral,0.0,neutral
254,infosys fate state hangs clauses,2012-02-12,0.0,neutral,0.0,neutral
255,accenture wipro infosys preferred employers linkedin,2013-10-24,0.0,neutral,0.0,neutral
256,firms like infosys tcs sustain growth,2015-05-03,0.0,neutral,0.0,neutral
257,tcs market capitalization almost equal infosys wipro hcl tech combined,2016-07-16,0.0,neutral,0.0,neutral
258,shares fall infosys ceo resignation hurts,2017-08-18,0.0,neutral,0.0,neutral
259,zhu clears infosys request spot,2002-01-18,0.0,neutral,0.0,neutral
260,infosys bpo hire 2000 fy10,2009-11-09,0.0,neutral,1.0,positive
261,hcl infosystems launches gaming consoles,2010-08-09,0.0,neutral,1.0,positive
262,infosys may outperform near term,2011-05-02,0.10000000149011612,positive,0.0,neutral
263,infosys tcs top losers mcap last week,2011-07-17,0.10000000149011612,neutral,1.0,positive
264,infosys sees budget cuts 2012,2011-11-15,0.0,neutral,0.0,neutral
265,infosys products play begins win admirers,2012-10-01,0.800000011920929,positive,0.0,neutral
266,amit chaudhuri bags infosys prize,2012-12-26,0.0,neutral,1.0,positive
267,dentsus global project selects infosys edge platform,2013-03-15,0.0,neutral,0.0,neutral
268,infosys gives 10 increment,2013-05-25,0.0,neutral,0.0,neutral
269,infosyss kakal join lt infotech coo,2014-03-22,0.0,neutral,0.0,neutral
270,infosys hunts startups partner,2014-08-27,0.0,neutral,0.0,neutral
271,infosys buy american automation co 200m,2015-02-17,0.0,neutral,1.0,positive
272,infosys results whats good whats,2016-04-16,0.699999988079071,positive,0.0,neutral
273,infosys crisis attacks got really personal last two weeks says vishal sikka,2017-08-19,0.0,neutral,0.0,neutral
274,infosys rings nasdaq opening bell,2006-08-01,0.0,neutral,0.0,neutral
275,microsoft elbows infosys best company work,2007-11-13,1.0,positive,1.0,positive
276,infosys gets foothold japan,2008-02-19,0.0,neutral,0.0,neutral
277,infosys hire 35000 fiscal,2012-04-13,0.0,neutral,1.0,positive
278,ibm infosys cognizant top recruiters bschools,2012-06-14,0.5,positive,1.0,positive
279,infosys settles us harassment lawsuit,2012-12-15,0.0,neutral,0.0,neutral
280,et infosys q1 results 5 things watch,2014-07-11,0.0,neutral,0.0,neutral
281,infosys seeks identity shibulals 30 strategy dumped,2015-02-02,0.0,neutral,0.0,neutral
282,infosys challenges practices panaya deal,2015-02-17,0.0,neutral,0.0,neutral
283,chennai rains leave tech inc marooned firms like ibm cognizant infosys enforce contingency plans relocate key staff,2015-11-25,0.0,neutral,0.0,neutral
284,infosys may slash variable pay,2009-02-02,0.0,neutral,0.0,neutral
285,infosys reduce subcontractors,2009-11-28,0.0,neutral,0.0,neutral
286,obamas remarks aimed companies  infosys chief,2010-02-13,0.0,neutral,0.0,neutral
287,infosys hire 30000 year,2010-06-10,0.0,neutral,1.0,positive
288,tech infosys puts policies probation,2010-09-14,0.0,neutral,0.0,neutral
289,infosys start campus shanghai,2011-05-21,0.0,neutral,0.0,neutral
290,infosys wipro tcs tax lens,2011-07-01,0.0,neutral,0.0,neutral
291,infosys hires wipro exec tackle visa row,2011-09-06,0.0,neutral,0.0,neutral
292,infosys holds employee increments,2012-04-14,0.0,neutral,0.0,neutral
293,see whats troubling infosys tcs wipro hcl tech,2012-04-30,0.0,neutral,0.0,neutral
294,infosys tanks 9 weak outlook,2012-10-12,-0.375,negative,0.0,neutral
295,infosys loses number sales people us,2013-05-04,-0.30000001192092896,negative,0.0,neutral
296,rohan murtys presence may hurt infosys,2013-06-05,0.0,neutral,0.0,neutral
297,clarification infosys story,2002-07-26,0.0,neutral,0.0,neutral
298,infosys bpo creates team integrated offerings,2011-01-14,0.0,neutral,0.0,neutral
299,infosys launches updated version finacle ebanking solution,2011-10-15,0.0,neutral,1.0,positive
300,end hcl infosys war words british firm axon,2012-10-27,-0.10000000149011612,negative,0.0,neutral
301,big guns chart roadmap infosys 30,2014-06-13,0.0,neutral,0.0,neutral
302,vishal sikkaled infosys writes fresh code culture,2015-08-05,0.30000001192092896,positive,0.0,neutral
303,meet navin budhiraja brains behind infosys key bets,2015-11-27,-0.20000000298023224,negative,0.0,neutral
304,infosys slow steady carbon neutral 2018,2015-12-09,-0.06666667014360428,neutral,0.0,neutral
305,hrd ministry tight spot sudha murtys request make infosys partner iiit dharwad,2016-05-31,-0.1785714328289032,negative,0.0,neutral
306,unhappy infosys promoters skip agm,2017-06-25,-0.6000000238418579,negative,0.0,neutral
307,infosys bestmanaged company,2002-05-12,0.0,neutral,0.0,neutral
308,infosys cuts us staff limited tolerance nonperformers,2009-02-01,-0.0714285746216774,neutral,0.0,neutral
309,infosys time refine biz,2009-04-25,0.0,neutral,0.0,neutral
310,coming soon rbs gain tcs infosys,2009-10-07,0.0,neutral,0.0,neutral
311,infosys stock goldmans winners list,2011-08-26,0.0,neutral,0.0,neutral
312,infosys tcs  hcl tech maintain positive outlook,2011-10-18,0.22727273404598236,positive,0.0,neutral
313,infosys guidance bellwether forecast,2012-03-23,0.0,neutral,1.0,positive
314,infosys turning corner jpmorgan,2013-02-25,0.0,neutral,0.0,neutral
315,infosys invests 4 mn us data discovery software firm,2016-01-29,-0.20000000298023224,negative,0.0,neutral
316,infosys q1 net profit beats street estimates revenue guidance raised,2017-07-14,0.0,neutral,0.0,neutral
317,infosys board clears share buyback plan 1150piece,2017-08-20,0.0,neutral,0.0,neutral
318,zhu infosys today,2002-01-16,0.0,neutral,0.0,neutral
319,infosys bags esc award,2003-06-14,0.0,neutral,1.0,positive
320,hoax bomb call worries infosys,2010-10-22,0.0,neutral,0.0,neutral
321,infosys q3 net 14 1780 cr,2011-01-13,0.0,neutral,0.0,neutral
322,infosys hire 12000 q2,2011-07-12,0.0,neutral,1.0,positive
323,infosys tata ink deal nsdc impart skills jk youth,2011-07-14,0.0,neutral,0.0,neutral
324,infosys may replace tcs phase mca21 project,2012-09-18,0.0,neutral,0.0,neutral
325,infosys creates minicfo structure business units,2013-06-13,0.0,neutral,0.0,neutral
326,infosys scale lower level sales force,2014-01-13,0.0,neutral,0.0,neutral
327,infosys hire 2100 people us,2014-11-06,0.0,neutral,1.0,positive
328,sydney cafe siege infosys techie narrates nightmare,2014-12-17,0.0,neutral,0.0,neutral
329,infosys toys availing ksisf cover mangaluru units,2015-01-02,0.0,neutral,0.0,neutral
330,infosys wipro tcs caught outsourcing price war,2015-03-25,0.0,neutral,0.0,neutral
331,infosys gives average pay hike 65,2015-03-27,-0.15000000596046448,negative,0.0,neutral
332,hush money charge disturbing infosys boards chairman seshasayee says,2017-02-14,-0.5,negative,0.0,neutral
